CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
758;France;Female;33;7;0;2;0;0;8299647;0
586;Spain;Female;28;2;0;2;1;1;9206735;0
646;France;Female;73;6;9725925;1;0;1;10471966;0
631;Germany;Female;33;4;1232467;1;0;0;11268757;0
717;Spain;Female;22;6;10106025;1;0;1;8469956;0
684;France;Male;30;2;0;2;1;0;8347382;0
800;France;Female;49;7;10800736;1;0;0;4712511;0
721;Spain;Female;36;2;0;2;1;1;1069778;0
683;Spain;Male;29;0;13370289;1;1;0;5558254;1
660;Germany;Male;31;9;12518975;2;1;1;13987443;0
704;Germany;Female;24;7;11303422;1;1;0;16250348;1
615;Spain;Female;41;9;10901323;1;1;0;19649996;0
667;Spain;Female;39;2;0;2;1;0;4072124;1
682;Germany;Male;24;9;5792981;2;0;0;531343;0
484;France;Female;29;4;13011439;1;1;0;16401789;0
628;Germany;Male;27;5;9582649;2;1;0;15599696;0
480;Germany;Male;44;10;12960857;1;1;0;54727;1
578;France;Male;30;4;16946209;1;1;0;11218711;0
512;France;Male;40;5;0;2;1;1;14645783;0
484;Spain;Female;35;7;13386821;1;1;1;272861;0
510;France;Female;30;0;0;2;1;1;13055347;0
606;Germany;Male;36;5;19047948;2;0;0;17935189;0
597;Spain;Female;40;8;10199312;1;0;1;9477412;0
754;Germany;Female;55;3;16160881;1;1;0;808085;1
850;Spain;Female;45;2;12231121;1;1;1;194825;0
510;France;Male;65;2;0;2;1;1;4807161;0
778;Germany;Female;45;1;16215042;2;1;0;17453127;0
636;France;Male;42;2;0;2;1;1;5547078;0
804;France;Female;50;4;0;1;1;1;854687;1
514;France;Male;32;8;0;2;1;0;9585718;0
730;France;Female;39;1;9901067;1;1;0;1949458;0
525;Spain;Female;37;0;0;1;0;1;13152172;0
616;Spain;Male;30;5;0;2;0;1;19610851;0
687;Germany;Female;34;7;11138818;2;1;0;14856476;0
715;France;Female;41;8;5621485;2;0;0;9298261;1
512;France;Female;36;3;8432777;2;1;0;1767536;0
479;France;Male;40;1;0;2;0;0;11499643;0
601;France;Male;32;8;9301289;1;1;0;8695742;0
580;Spain;Male;29;9;6171044;2;1;0;1280778;0
807;France;Male;35;3;17479015;1;1;1;60036;0
616;Spain;Female;32;6;0;2;1;1;4300146;0
721;Germany;Male;37;3;10772064;1;1;1;15859112;0
501;France;Male;57;10;0;2;1;1;4784719;0
521;France;Male;35;6;9642384;1;1;0;1048844;0
850;Spain;Male;30;2;14104001;1;1;1;59782;0
759;France;Male;42;4;10542018;1;0;1;12140906;0
516;Spain;Male;50;5;0;1;0;1;14614593;1
711;France;Female;38;2;12902206;2;1;1;1437486;1
512;Spain;Male;33;3;17666662;1;1;0;9467077;0
550;France;Male;37;3;0;1;1;1;17967031;0
608;Spain;Female;41;3;8976384;1;0;0;19930474;1
618;France;Male;34;5;13495453;1;1;1;15195439;0
643;France;Male;45;5;0;1;1;0;1425135;1
671;France;Male;45;2;10637685;1;0;1;15826462;0
689;Germany;Male;33;2;16181464;2;1;0;1693819;0
603;France;Male;31;8;0;2;1;1;16991502;0
620;France;Female;41;9;0;2;0;0;8885247;0
676;France;Female;34;1;6309501;1;1;1;4064581;0
572;Germany;Male;26;4;11828701;2;0;0;604273;0
668;Germany;Male;47;7;10685421;1;0;1;15795902;1
695;France;Male;46;7;4951255;1;1;0;13300734;0
730;Spain;Female;33;9;0;2;0;0;17657662;0
807;France;Male;43;1;10579932;2;1;0;3488804;1
592;France;Male;54;8;0;1;1;1;2873771;1
726;France;Female;31;9;11472205;2;1;1;9817857;0
514;Spain;Male;30;7;0;1;0;1;12501024;0
567;France;Male;42;2;0;2;1;1;16798461;0
850;France;Male;33;10;0;1;1;0;486172;1
671;Germany;Male;45;6;9956422;1;1;1;10887245;1
670;France;Male;37;4;17055791;2;1;0;19825288;0
694;France;Female;30;9;0;2;1;1;2696031;0
547;Germany;Female;39;6;7459615;3;1;1;8574652;1
751;Germany;Male;50;2;9688839;1;1;0;7720625;1
594;Germany;Female;29;3;13083022;1;1;0;6104853;0
673;France;Male;72;1;0;2;0;1;11198119;0
610;France;Male;40;0;0;2;1;0;622326;0
512;France;Female;37;1;0;2;0;1;15610503;0
767;Germany;Male;20;3;11971425;2;0;1;15013538;0
585;France;Female;67;5;11397897;2;0;1;9314611;0
763;Germany;Male;42;6;10016075;1;1;0;3346294;1
712;France;Female;29;2;0;1;1;1;144375;0
539;Germany;Female;43;3;1162205;3;1;0;5580396;1
668;France;Female;46;2;0;3;1;0;8904846;1
703;France;Male;28;2;8117383;2;0;1;16281216;0
662;Spain;Male;38;4;0;2;1;0;13625965;0
725;Germany;Female;39;5;1168038;1;1;0;12405297;0
703;France;Male;37;8;10596168;2;0;1;741588;0
659;Germany;Male;67;6;1174116;1;1;1;4507109;1
523;Spain;Male;34;7;0;2;1;0;6203006;0
635;France;Female;40;10;12349758;1;1;0;13195323;1
772;Germany;Male;26;7;15240051;2;1;0;79414;0
545;France;Female;26;1;0;2;1;1;19963856;0
634;Germany;Male;24;8;10309785;1;1;1;15757729;0
739;Germany;Male;54;8;12641814;1;1;0;13442075;1
771;Germany;Female;36;5;778469;1;0;0;9980599;0
587;Spain;Female;34;1;0;2;1;1;9793268;0
681;France;Female;79;0;0;2;0;1;17096899;0
544;Germany;Male;37;2;7973191;1;1;1;5755895;0
696;Spain;Male;28;8;0;1;0;0;17671347;0
766;Spain;Male;41;0;0;2;0;1;3428323;0
727;France;Male;34;10;0;2;1;1;19863734;0
671;Germany;Female;34;6;3726667;2;0;0;15691712;0
693;France;Female;30;6;12799225;1;1;1;504572;0
850;Germany;Male;38;3;5490101;1;1;1;14007555;0
732;Germany;Male;42;9;10874808;2;1;1;6532311;0
726;Spain;Female;48;6;9990619;1;1;0;6432324;0
557;France;Female;32;6;18468641;2;1;0;1495644;0
682;France;Female;26;0;11065402;1;0;1;11187921;0
738;Spain;Male;31;9;790198;1;1;1;1860623;0
531;Spain;Female;36;9;9924051;1;1;0;12313701;0
498;France;Male;34;2;0;2;1;1;14852824;0
651;France;Male;36;7;0;2;1;0;1389831;0
549;Spain;Female;39;7;0;1;0;0;8125925;1
791;Germany;Female;35;7;524362;1;1;0;16105175;0
650;Spain;Male;41;9;0;2;0;1;19159967;0
733;Germany;Male;34;3;10033796;3;1;0;4855919;1
811;Germany;Female;34;1;14929719;2;1;1;18633974;0
707;France;Male;30;8;0;2;1;0;3315937;0
712;Germany;Male;28;4;14560544;1;0;1;9388353;0
706;Spain;Female;37;7;0;2;1;1;1108993;0
756;France;Male;62;3;0;1;1;1;1119904;1
777;France;Female;53;10;0;2;1;0;18999297;0
646;France;Male;35;6;8402686;1;0;1;16425569;0
714;France;Male;46;1;0;1;1;0;15216779;1
782;France;Male;39;8;0;2;1;1;3394967;0
775;Spain;Male;29;10;0;2;1;1;6814393;0
479;Germany;Male;35;4;13871892;1;1;1;4725179;1
807;France;Male;42;7;11827471;1;1;1;2588572;0
799;France;Female;22;8;17418598;2;0;1;19263385;0
675;France;Male;40;7;11320886;2;1;0;3457736;0
602;Spain;Male;29;5;10390728;1;1;0;16122984;0
475;France;Female;32;8;11902328;1;1;0;10081629;0
744;Spain;Female;26;5;16629789;1;1;1;18169444;0
588;Spain;Male;34;10;0;2;1;0;7907891;0
703;Germany;Male;42;9;63227;1;0;1;13731632;0
747;Spain;Female;41;5;9452117;2;1;0;19492686;0
583;France;Male;27;7;0;2;1;0;5128549;0
750;Spain;Female;34;9;11282226;1;0;0;15040153;1
681;France;Male;38;3;0;2;1;1;11249196;0
773;France;Male;25;2;13590333;1;1;0;7365638;0
714;France;Female;31;4;12516926;1;1;1;10663689;0
687;Spain;Female;44;7;0;3;1;0;15585352;1
511;France;Male;58;0;14911731;1;1;1;16259951;0
627;France;Male;33;5;0;2;1;1;10373782;0
694;France;Female;31;10;0;2;1;0;16099027;0
616;Spain;Female;36;6;13231171;1;0;0;1546284;0
687;France;Male;35;8;0;2;1;0;1033405;0
712;France;Female;33;6;0;2;1;1;19068616;0
553;France;Male;33;4;11808289;1;0;0;9444045;0
667;France;Male;31;1;11926669;1;1;1;2825763;0
731;France;Male;43;2;0;1;1;1;17003495;1
629;Germany;Male;35;7;15684729;2;1;0;3182429;0
614;France;Male;50;4;13710447;1;1;0;12716649;1
438;Germany;Male;31;8;7839869;1;1;0;4493701;0
652;France;Female;80;4;0;2;1;1;18860307;0
729;Germany;Male;30;6;6366942;1;1;0;14511137;0
642;France;Male;38;3;0;2;0;0;17146383;0
806;Germany;Female;59;0;13529633;1;1;0;1828225;0
744;Spain;Male;36;2;15380444;1;1;1;8721333;0
474;Spain;Male;37;3;0;2;0;0;5717532;0
559;France;Male;49;2;14706978;1;1;0;12054083;1
706;Spain;Male;42;9;0;2;1;1;2871434;0
628;Spain;Female;22;3;0;1;1;0;8542628;0
429;France;Male;24;4;9574175;1;1;0;4617075;0
525;Spain;Female;57;2;14596533;1;1;1;6444836;0
680;France;Female;30;8;14144175;1;1;1;1627897;0
749;France;Male;40;1;13929041;1;1;0;18285542;1
763;France;Female;31;4;0;2;0;0;5040472;0
734;France;Male;30;3;0;2;1;0;10764025;0
716;France;Male;35;4;14442887;1;1;0;13413265;0
594;France;Male;35;2;0;2;1;0;10348069;0
644;France;Female;46;9;9544127;1;1;0;10876105;1
671;Germany;Male;35;1;14484874;1;1;1;1790123;0
664;Germany;Male;26;7;11624414;2;1;1;9514514;0
656;France;Male;50;7;0;2;0;1;7214344;0
667;Spain;Female;40;1;14650207;1;1;0;1916289;0
663;Germany;Male;44;2;1170286;2;0;1;14468018;0
584;Germany;Female;30;8;11201381;1;1;0;17777203;1
626;Spain;Female;37;6;10826937;1;1;0;559794;0
485;France;Male;29;7;18212379;1;1;0;11682851;1
659;Germany;Female;32;3;15092374;2;0;1;17465251;0
649;France;Male;33;2;0;2;1;0;201098;0
805;Spain;Female;39;5;16527213;1;1;0;1410985;1
716;Germany;Female;39;10;11530131;1;1;0;435274;1
642;Germany;Female;40;6;12950249;2;0;1;8609923;1
659;France;Male;31;4;11834226;1;0;0;16157419;0
545;Spain;Female;47;5;0;2;1;1;3897014;0
543;France;Male;22;8;0;2;0;0;12758722;0
718;France;Female;25;7;0;2;1;0;3038012;0
840;France;Female;43;7;0;2;1;0;9090895;0
630;Germany;Female;34;9;10693705;2;1;0;13827501;0
643;Germany;Male;59;3;17033137;1;1;1;3217179;0
654;Germany;Female;32;1;11451085;1;1;1;12614323;0
582;France;Male;39;5;0;2;1;1;12989293;0
659;Spain;Male;32;3;10759411;2;1;1;10241684;0
762;Spain;Male;39;2;8127313;1;1;1;1871967;0
568;Spain;Female;32;7;1693996;1;1;0;6193622;0
670;Spain;Male;25;6;0;2;1;1;7835894;0
613;France;Female;45;1;18784199;2;1;1;14722427;0
539;France;Male;30;0;0;2;1;0;16097966;0
850;Spain;Female;57;8;1267763;2;1;1;13229849;0
522;Spain;Male;34;9;12643629;1;1;0;17424852;1
737;France;Male;41;1;10196074;1;1;1;12354728;0
520;France;Male;58;3;0;2;0;1;3279002;0
706;Spain;Male;28;3;0;2;0;1;18154367;0
643;Germany;Female;45;2;15084293;1;0;1;231996;1
648;France;Female;50;9;10253557;1;1;1;18954319;0
443;Germany;Female;29;9;9902761;2;1;0;109404;0
640;France;Male;68;9;0;2;1;1;19949338;0
628;Spain;Female;33;3;0;1;1;1;18819325;0
540;Germany;Female;42;9;8727141;2;1;0;17257264;0
460;Germany;Female;35;8;10274291;2;1;1;1893396;0
636;Germany;Male;34;2;4010551;2;0;1;5351216;0
593;France;Female;29;2;15226543;1;1;0;3400444;0
801;Spain;Male;42;4;14194767;1;1;1;1059829;0
640;Germany;Female;75;1;10630791;2;0;1;11342877;0
611;Germany;Male;31;0;10788481;2;1;1;18348798;0
802;Germany;Male;31;1;12501372;1;1;1;18765809;0
717;Germany;Male;35;7;5846937;2;1;1;17245939;0
769;France;Female;39;8;0;1;0;1;21016;0
745;Germany;Male;45;10;11723163;3;1;1;12238102;1
572;Spain;Male;35;4;15239026;1;1;0;12812366;0
629;Spain;Female;30;2;3401363;1;1;0;1957063;0
687;Spain;Female;39;2;0;3;0;0;1881506;1
483;France;Female;50;9;0;2;1;1;11102024;0
690;France;Male;36;7;10158311;2;1;0;12377515;0
492;Germany;Female;30;10;7716887;2;0;1;14670022;0
709;Germany;Male;28;8;12469572;2;1;0;14525135;0
705;Germany;Male;44;3;10593496;1;1;0;8246369;0
560;France;Female;66;9;0;1;1;1;1592849;0
611;Spain;Male;46;6;0;2;1;0;4588633;0
730;Spain;Male;62;2;0;2;1;1;18648995;0
709;Spain;Female;45;2;0;2;0;1;16292265;0
544;France;Female;21;10;16152596;2;1;0;926277;0
712;Germany;Female;29;7;14719907;1;1;1;849324;0
752;Germany;Male;38;3;18310229;1;1;1;7155712;0
648;Spain;Male;46;9;127209;2;1;0;7740595;1
556;Spain;Male;38;8;0;2;0;0;41741;1
594;Spain;Female;24;0;9737854;1;1;1;7140517;0
645;Germany;Female;37;2;13692509;2;0;1;15340024;0
557;France;Male;33;3;5450355;1;1;1;37105;0
547;Germany;Male;32;8;15572685;1;1;0;6778999;0
701;France;Female;39;9;0;2;0;1;1458949;0
616;France;Female;66;1;13584241;1;1;0;18384051;1
605;France;Male;52;1;6334975;1;1;0;10888744;0
593;Germany;Female;38;4;12949942;1;1;1;15407127;0
751;Spain;Male;52;8;0;2;0;1;17929185;0
443;Spain;Male;36;6;7043801;2;0;1;5693743;0
685;France;Male;23;8;0;2;1;1;11223903;0
718;France;Male;36;9;0;1;1;0;4590987;0
538;Spain;Female;49;9;14143404;1;0;0;17377925;1
611;Spain;Female;37;4;0;2;1;0;12569626;0
668;Germany;Male;37;10;15295829;2;1;1;15958561;0
537;Germany;Female;41;3;13830634;1;1;0;10676147;0
709;Spain;Male;23;10;0;2;0;0;12959018;0
850;France;Male;38;1;0;2;1;1;8000665;0
745;Spain;Female;31;3;12432884;1;1;1;14045152;0
693;Germany;Female;41;9;18146148;3;1;1;18792943;1
795;Spain;Male;35;8;0;2;1;0;16715536;0
626;Spain;Male;26;8;0;2;0;0;19142071;0
487;Germany;Female;61;5;11036803;1;0;0;1138445;1
556;France;Female;39;9;8958835;1;1;1;948981;0
643;France;Female;46;6;0;2;0;0;10678159;0
605;France;Female;28;6;0;2;0;0;15950852;0
756;Germany;Female;60;3;11592489;1;1;0;9352419;1
586;France;Female;38;2;0;2;1;0;8716846;0
535;Germany;Male;40;7;1117565;1;1;0;812832;1
678;France;Female;35;4;0;1;1;0;12551832;0
596;France;Male;39;9;0;1;1;0;4896359;0
648;France;Male;26;9;16292385;1;1;0;9836824;0
492;Germany;Male;39;10;12457665;2;1;0;14858461;0
702;France;Male;45;0;8079358;1;1;1;2747481;0
486;Germany;Female;40;9;7134009;1;1;0;7619221;0
568;Germany;Male;40;1;9928263;1;0;0;13460094;1
619;Germany;Male;57;3;13794639;1;1;1;7246799;1
724;Germany;Male;41;2;12789257;2;0;1;19964545;0
548;Germany;Female;33;0;10108436;1;1;0;4274985;0
545;Germany;Female;37;8;11475408;1;1;0;13605044;1
683;France;Male;33;8;0;1;0;0;7356444;0
762;France;Female;51;3;9928698;1;0;1;8557863;0
627;Germany;Female;30;4;7987102;2;1;0;12982689;0
516;France;Male;35;10;10408859;2;0;0;119666;0
800;France;Female;38;2;16819033;2;1;0;6805208;0
464;Germany;Female;42;3;8567925;1;1;1;16410474;0
626;France;Female;35;3;0;1;0;0;8019036;0
790;France;Female;31;9;0;2;1;0;8412675;0
534;France;Female;34;7;12155158;2;1;1;70179;0
745;France;Male;46;2;12222019;1;1;1;1180241;0
553;Spain;Male;47;3;11652815;1;0;0;14570419;1
748;France;Female;26;1;7778029;1;0;1;18304941;0
722;France;Male;37;2;0;1;0;0;12090683;0
501;France;Male;40;4;1258322;1;1;1;10043383;0
675;France;Female;38;6;680658;1;0;0;138777;1
778;Spain;Female;47;6;12729934;2;1;0;12469499;0
494;Germany;Female;38;7;17493764;1;1;0;4008432;0
850;France;Male;40;9;0;2;0;1;11923233;0
592;Spain;Male;31;7;1100711;1;0;0;4392136;0
590;Spain;Female;44;3;13943237;1;1;0;6222281;0
758;France;Female;39;6;12735776;1;0;1;56577;0
506;France;Male;36;5;0;2;1;0;16425335;0
733;France;Male;33;3;0;1;1;1;766673;0
711;France;Male;38;3;0;2;1;0;6848751;0
514;Germany;Male;43;1;9555631;1;0;1;19927398;1
637;Spain;Male;37;8;0;1;1;1;18606236;0
468;Germany;Male;29;1;11168198;2;1;1;19571116;0
539;France;Male;39;3;0;2;1;0;3669217;0
509;Spain;Female;25;3;10873871;2;1;0;10692057;0
662;France;Female;32;4;13395037;1;1;1;4872568;1
818;Spain;Male;26;4;0;2;1;1;16703694;0
608;France;Male;33;9;8996869;1;1;0;6877726;0
850;Spain;Female;32;9;0;2;1;1;1892492;0
816;Germany;Female;38;5;13087875;3;1;0;7190577;1
536;France;Male;35;8;0;2;1;0;6483328;0
753;France;Male;35;3;0;2;1;1;18484377;0
631;Spain;Male;27;10;13416962;1;1;1;17673002;0
703;France;Male;37;1;14976208;1;1;0;206294;1
774;France;Male;26;2;9384469;1;1;0;2841536;0
785;France;Male;28;8;0;2;1;0;7723127;0
571;France;Female;33;1;0;2;1;0;1027507;0
621;Germany;Male;46;6;14107837;1;0;0;345808;1
605;Germany;Female;31;1;11799259;1;1;1;18359877;0
611;France;Female;40;8;10081233;2;1;0;14735827;0
569;France;Male;38;7;0;1;1;1;1084692;0
658;France;Male;29;4;802626;1;1;1;2061282;0
788;Spain;Male;34;6;15647862;1;0;1;18119676;0
525;France;Female;23;5;0;2;1;0;1602491;0
798;France;Male;37;8;0;3;0;0;11078328;0
486;Germany;Male;37;9;11521799;2;1;0;14499533;0
615;Spain;Male;61;9;0;2;1;0;15022785;1
730;France;Female;35;0;15547055;1;1;1;5371828;0
641;France;Male;37;7;0;2;1;0;752483;0
542;France;Male;39;3;13509677;1;1;1;1435343;1
692;France;Male;30;2;0;2;0;1;13048657;0
714;Germany;Female;55;9;18007522;1;1;1;10012771;0
591;Spain;Male;29;1;9754124;1;1;1;19635617;0
710;France;Female;41;2;15606705;1;1;1;998388;0
639;France;Female;38;4;8155094;2;0;1;11897477;0
531;France;Female;47;6;0;1;0;0;19499834;1
673;France;Female;38;2;17006192;2;0;0;13490134;1
765;Germany;Male;36;8;9231054;2;1;1;7292456;0
622;France;Female;32;6;16908938;2;1;0;10105795;0
806;France;Male;40;5;8061393;1;1;1;14283864;0
757;Germany;Male;26;8;12158156;2;1;1;12705904;0
570;France;Female;58;8;0;1;0;1;11650392;1
555;Spain;Male;32;4;0;2;1;1;5440579;0
692;France;Male;54;5;0;2;1;1;8872184;0
774;France;Male;60;5;8589155;1;1;0;7413548;1
638;Spain;Male;44;9;7763735;2;1;1;11134622;0
543;Spain;Female;41;4;0;1;0;0;19490216;0
584;France;Male;31;5;0;2;1;0;3147427;0
691;Germany;Male;30;7;11692789;1;1;0;2119839;0
684;Germany;Female;40;6;13732665;1;1;0;1869766;0
733;France;Male;22;5;0;2;1;1;11720219;0
599;Spain;Female;37;2;0;2;1;1;14373929;0
